pdes,full_name,neo,pha,H,diameter,albedo,e,a,q,i,om,w,moid,class
2020 FB1,       (2020 FB1),Y,N,25.60,,,0.3692,1.075,0.678,3.60,171.76,118.32,0.0185,APO
2020 FC1,       (2020 FC1),Y,N,27.40,,,0.1797,1.253,1.027,4.43,348.73,176.92,0.0349,AMO
2020 FE1,       (2020 FE1),Y,N,26.00,,,0.0858,1.142,1.044,10.54,171.63,52.54,0.0773,AMO
2020 FF1,       (2020 FF1),Y,N,27.90,,,0.4952,1.619,0.817,2.00,176.58,69.08,0.00376,APO
2020 FG1,       (2020 FG1),Y,N,25.10,,,0.2210,1.347,1.049,26.44,174.77,334.90,0.0722,AMO
2020 FH1,       (2020 FH1),Y,N,25.20,,,0.4758,1.925,1.009,7.09,178.66,314.43,0.0663,APO
2020 FJ1,       (2020 FJ1),Y,N,25.40,,,0.4212,1.887,1.092,6.78,177.01,2.28,0.0964,AMO
2020 FK1,       (2020 FK1),Y,N,27.40,,,0.0896,0.9514,0.866,8.97,174.97,234.87,0.000656,ATE
2020 FL1,       (2020 FL1),Y,N,26.75,,,0.4337,1.721,0.975,4.70,176.06,321.99,0.0219,APO
2020 FM1,       (2020 FM1),Y,N,29.30,,,0.2648,1.137,0.836,1.84,358.49,98.35,0.00302,APO
2020 FN1,       (2020 FN1),Y,N,22.80,,,0.4356,1.736,0.980,12.85,178.24,63.31,0.103,APO
2020 FO1,       (2020 FO1),Y,Y,21.20,,,0.8217,2.299,0.410,2.87,34.16,264.02,0.00993,APO
2020 FP1,       (2020 FP1),Y,N,23.45,,,0.5017,1.58,0.787,34.59,175.33,92.86,0.109,APO
2020 FQ1,       (2020 FQ1),Y,N,21.70,,,0.5318,1.806,0.846,12.11,19.40,218.09,0.0534,APO
2020 FR1,       (2020 FR1),Y,Y,21.23,,,0.6146,1.406,0.542,13.11,26.37,255.89,0.00984,APO
2020 FS1,       (2020 FS1),Y,N,21.14,,,0.5262,1.287,0.610,11.30,29.49,34.82,0.144,APO
2020 FT1,       (2020 FT1),Y,N,22.40,,,0.2705,1.104,0.805,4.79,17.62,314.49,0.0483,APO
2020 FU1,       (2020 FU1),Y,N,27.80,,,0.2759,1.424,1.031,4.29,170.73,3.27,0.0374,AMO
2020 FW1,       (2020 FW1),Y,N,26.90,,,0.0168,1.065,1.047,2.27,0.49,351.64,0.0409,AMO
2020 FX1,       (2020 FX1),Y,N,25.70,,,0.5285,2.337,1.102,5.20,181.75,339.60,0.114,AMO
2020 FZ1,       (2020 FZ1),Y,N,26.60,,,0.2318,1.064,0.817,8.54,353.25,82.05,0.0177,APO
2020 FA2,       (2020 FA2),Y,N,27.46,,,0.2215,1.222,0.951,11.05,358.43,223.12,0.00386,APO
2020 FB2,       (2020 FB2),Y,N,26.20,,,0.2949,1.385,0.976,16.97,179.34,32.50,0.0151,APO
2020 FC2,       (2020 FC2),Y,N,28.00,,,0.3989,1.645,0.989,6.82,357.10,163.65,0.00483,APO
2020 FD2,       (2020 FD2),Y,N,25.70,,,0.9173,3.002,0.248,0.27,197.88,211.97,0.00188,APO
2020 FE2,       (2020 FE2),Y,N,26.00,,,0.5052,2.032,1.006,4.66,9.80,173.60,0.00886,APO
2020 FH2,       (2020 FH2),Y,Y,21.16,,,0.4933,1.815,0.920,7.99,55.65,51.92,0.0297,APO
2020 FJ2,       (2020 FJ2),Y,N,20.15,,,0.6100,1.756,0.685,14.67,61.48,212.18,0.174,APO
2020 FK2,       (2020 FK2),Y,N,23.10,,,0.6588,1.823,0.622,9.15,21.57,54.59,0.0852,APO
2020 FL2,       (2020 FL2),Y,N,26.10,,,0.6090,1.318,0.515,6.96,181.85,106.61,0.00122,APO
2020 FM2,       (2020 FM2),Y,N,26.30,,,0.2622,1.344,0.991,16.35,181.72,339.22,0.00837,APO
2020 FN2,       (2020 FN2),Y,N,25.10,,,0.2408,1.371,1.041,10.80,184.03,36.38,0.071,AMO
2020 FO2,       (2020 FO2),Y,N,22.40,,,0.4376,1.974,1.110,11.59,188.47,13.74,0.115,AMO
2020 FS2,       (2020 FS2),Y,N,24.32,,,0.2654,1.032,0.758,11.84,175.16,122.43,0.0694,APO
2020 FT2,       (2020 FT2),Y,N,23.10,,,0.4848,1.616,0.833,24.77,6.94,102.89,0.0834,APO
2020 FU2,       (2020 FU2),Y,N,28.60,,,0.5659,1.928,0.837,5.67,1.02,121.72,0.00367,APO
2020 FV2,       (2020 FV2),Y,N,22.16,,,0.4708,2.097,1.110,32.54,180.81,25.89,0.145,AMO
2020 FW2,       (2020 FW2),Y,N,24.10,,,0.5996,2.488,0.996,6.65,178.05,10.15,0.00542,APO
2020 FX2,       (2020 FX2),Y,N,23.60,,,0.3431,1.493,0.981,29.46,176.18,316.33,0.0569,APO
2020 FY2,       (2020 FY2),Y,N,25.20,,,0.5532,1.91,0.853,4.03,169.52,314.38,0.00892,APO
2020 FZ2,       (2020 FZ2),Y,N,25.10,,,0.7127,1.904,0.547,2.13,11.48,268.90,0.00262,APO
2020 FA3,       (2020 FA3),Y,N,23.40,,,0.4181,1.823,1.061,3.14,153.77,46.14,0.0715,AMO
2020 FB3,       (2020 FB3),Y,N,25.07,,,0.2462,1.312,0.989,8.39,358.36,232.24,0.0491,APO
2020 FC3,       (2020 FC3),Y,N,24.90,,,0.5462,2.136,0.969,2.03,206.21,289.42,0.0269,APO
2020 FD3,       (2020 FD3),Y,N,23.40,,,0.3406,1.491,0.983,2.93,60.58,197.68,0.00724,APO
2020 FE3,       (2020 FE3),Y,N,22.60,,,0.5766,2.286,0.968,16.75,2.25,118.51,0.125,APO
2020 FF3,       (2020 FF3),Y,N,25.10,,,0.6514,2.986,1.041,14.53,2.15,155.74,0.0721,AMO
2020 FG3,       (2020 FG3),Y,N,24.80,,,0.5311,1.999,0.937,12.13,4.20,134.46,0.0316,APO
2020 FH3,       (2020 FH3),Y,N,26.30,,,0.5399,1.951,0.898,2.97,191.96,299.83,0.0143,APO
2020 FJ3,       (2020 FJ3),Y,N,23.93,,,0.2842,0.83,0.594,13.30,3.29,19.50,0.0394,ATE
2020 FK3,       (2020 FK3),Y,N,25.30,,,0.5042,1.922,0.953,2.59,164.51,64.91,0.0248,APO
2020 FM3,       (2020 FM3),Y,N,23.40,,,0.5471,2.411,1.092,14.67,21.32,189.80,0.0921,AMO
2020 FN3,       (2020 FN3),Y,N,24.49,,,0.2080,1.013,0.802,0.90,20.62,269.81,0.00204,APO
2020 FO3,       (2020 FO3),Y,N,23.10,,,0.0681,1.221,1.138,22.18,178.26,1.44,0.142,AMO
2020 FP3,       (2020 FP3),Y,N,23.80,,,0.3588,1.802,1.155,12.28,2.80,197.63,0.163,AMO
