pdes,full_name,neo,pha,H,diameter,albedo,e,a,q,i,om,w,moid,class
2024 PL3,       (2024 PL3),Y,N,24.42,,,0.4399,1.7,0.952,29.49,316.58,311.09,0.0438,APO
2024 PM3,       (2024 PM3),Y,N,25.66,,,0.4127,1.88,1.104,0.63,225.23,106.84,0.0932,AMO
2024 PN3,       (2024 PN3),Y,N,19.32,,,0.5943,2.689,1.091,10.61,251.11,180.72,0.105,AMO
2024 PO3,       (2024 PO3),Y,N,27.34,,,0.2221,1.264,0.983,12.23,319.39,43.11,0.0177,APO
2024 PR3,       (2024 PR3),Y,N,20.78,,,0.4460,1.041,0.577,22.93,130.56,37.62,0.161,APO
2024 PS3,       (2024 PS3),Y,N,24.86,,,0.6801,3.027,0.969,13.92,136.23,226.78,0.0598,APO
2024 PU3,       (2024 PU3),Y,N,27.28,,,0.6925,2.867,0.882,5.80,142.90,126.13,0.0117,APO
2024 PV3,       (2024 PV3),Y,N,24.52,,,0.5384,0.7279,0.336,14.04,140.60,347.45,0.0458,ATE
2024 PW3,       (2024 PW3),Y,N,23.64,,,0.4885,2.212,1.132,6.89,151.59,159.29,0.124,AMO
2024 PX3,       (2024 PX3),Y,N,25.98,,,0.4480,1.702,0.940,4.63,320.62,316.93,0.0038,APO
2024 PY3,       (2024 PY3),Y,N,23.85,,,0.2402,1.115,0.847,26.96,320.56,267.07,0.044,APO
2024 PZ3,       (2024 PZ3),Y,N,25.22,,,0.6155,2.348,0.903,3.55,323.35,42.90,0.00162,APO
2024 PC4,       (2024 PC4),Y,N,25.99,,,0.5236,2.103,1.002,5.50,314.12,334.69,0.0121,APO
2024 PD4,       (2024 PD4),Y,N,27.24,,,0.0203,1.059,1.038,2.19,129.50,213.01,0.026,AMO
2024 PF4,       (2024 PF4),Y,N,23.27,,,0.4563,2.084,1.133,1.21,112.27,230.94,0.125,AMO
2024 PG4,       (2024 PG4),Y,N,25.21,,,0.2626,1.435,1.058,18.06,319.34,327.16,0.0758,AMO
2024 PH4,       (2024 PH4),Y,N,24.65,,,0.1558,1.299,1.097,20.59,312.34,39.25,0.114,AMO
2024 PK4,       (2024 PK4),Y,N,25.75,,,0.2701,1.231,0.899,12.24,143.16,104.76,0.0354,APO
2024 PL4,       (2024 PL4),Y,N,23.68,,,0.2713,1.568,1.143,0.38,181.43,129.71,0.128,AMO
2024 PO4,       (2024 PO4),Y,N,20.18,,,0.6308,2.987,1.103,16.18,309.90,86.44,0.299,AMO
2024 PP4,       (2024 PP4),Y,N,25.62,,,0.7553,2.451,0.600,2.79,313.78,278.51,0.00474,APO
2024 PQ4,       (2024 PQ4),Y,N,23.62,,,0.6862,2.107,0.661,2.79,339.33,75.47,0.00506,APO
2024 PR4,       (2024 PR4),Y,N,24.51,,,0.1517,0.9723,0.825,8.25,315.76,141.70,0.0501,ATE
2024 PT4,       (2024 PT4),Y,N,22.96,,,0.3222,1.806,1.224,4.71,207.52,99.85,0.228,AMO
2024 PP5,       (2024 PP5),Y,N,26.19,,,0.7240,2.692,0.743,9.81,318.89,291.88,0.00139,APO
2024 PQ5,       (2024 PQ5),Y,N,24.55,,,0.5356,1.946,0.904,8.40,143.76,234.58,0.0199,APO
2024 PR5,       (2024 PR5),Y,N,27.30,,,0.5574,1.15,0.509,20.18,140.69,66.41,0.00337,APO
2024 PS5,       (2024 PS5),Y,N,22.35,,,0.2447,0.9562,0.722,14.88,324.67,223.66,0.0586,ATE
2024 PT5,       (2024 PT5),Y,N,27.45,,,0.0153,1.022,1.007,1.71,288.57,196.75,0.02,APO
2024 PV5,       (2024 PV5),Y,N,24.07,,,0.1513,1.187,1.007,22.21,322.27,74.70,0.0963,APO
2024 PX5,       (2024 PX5),Y,N,22.13,,,0.4357,2.208,1.246,9.13,351.76,10.10,0.243,AMO
2024 PY5,       (2024 PY5),Y,N,25.28,,,0.5002,2.161,1.080,2.45,290.20,43.24,0.0752,AMO
2024 PZ5,       (2024 PZ5),Y,N,23.31,,,0.5840,2.335,0.971,2.94,250.35,135.93,0.0206,APO
2024 PA6,       (2024 PA6),Y,N,23.32,,,0.5052,2.523,1.248,7.07,244.76,69.40,0.266,AMO
2024 PB6,       (2024 PB6),Y,N,21.24,,,0.1494,1.488,1.265,26.73,301.31,141.09,0.313,AMO
2024 PD6,       (2024 PD6),Y,N,22.18,,,0.5491,2.661,1.200,9.81,120.49,224.53,0.223,AMO
2024 PE6,       (2024 PE6),Y,N,20.63,,,0.5604,2.576,1.132,9.07,302.28,106.79,0.212,AMO
2024 PF6,       (2024 PF6),Y,N,25.20,,,0.3406,1.547,1.020,22.04,141.35,176.69,0.00711,AMO
2024 PL6,       (2024 PL6),Y,N,24.92,,,0.2685,1.405,1.027,16.51,123.54,136.08,0.067,AMO
2024 PM6,       (2024 PM6),Y,N,24.08,,,0.6006,2.494,0.996,3.17,320.06,51.17,0.0316,APO
2024 PQ6,       (2024 PQ6),Y,N,20.59,,,0.2130,1.492,1.175,39.12,154.18,214.33,0.198,AMO
2024 PG7,       (2024 PG7),Y,N,21.07,,,0.4946,2.479,1.253,9.78,299.29,67.21,0.301,AMO
2024 PH7,       (2024 PH7),Y,N,23.81,,,0.4032,2.104,1.256,6.87,132.45,189.32,0.243,AMO
2024 PS7,       (2024 PS7),Y,N,21.48,,,0.4297,2.176,1.241,2.23,108.97,236.26,0.235,AMO
2024 PZ8,       (2024 PZ8),Y,N,22.05,,,0.1212,1.455,1.279,10.82,263.49,347.24,0.265,AMO
2024 PB10,       (2024 PB10),Y,N,21.37,,,0.6086,1.784,0.698,6.81,76.90,352.24,0.108,APO
2024 PG10,       (2024 PG10),Y,N,20.15,,,0.4689,2.388,1.268,20.75,155.25,253.51,0.431,AMO
2024 PS13,       (2024 PS13),Y,N,24.61,,,0.5346,2.29,1.066,1.95,93.25,253.99,0.0669,AMO
2024 PR15,       (2024 PR15),Y,N,21.35,,,0.4975,2.123,1.067,6.13,332.44,316.79,0.0821,AMO
2024 PC34,       (2024 PC34),Y,N,21.00,,,0.3727,1.67,1.048,15.42,83.88,320.87,0.11,AMO
2024 QA,       (2024 QA),Y,N,25.70,,,0.7182,1.933,0.545,2.85,141.73,280.55,0.00401,APO
2024 QB,       (2024 QB),Y,N,24.94,,,0.2151,1.346,1.056,15.31,146.46,183.98,0.0449,AMO
2024 QD,       (2024 QD),Y,N,24.34,,,0.5856,2.454,1.017,10.12,142.70,207.72,0.0376,APO
2024 QF,       (2024 QF),Y,N,26.46,,,0.3169,1.497,1.022,20.30,151.80,172.12,0.0132,AMO
2024 QG,       (2024 QG),Y,N,24.75,,,0.7282,1.93,0.525,6.17,161.16,272.20,0.011,APO
2024 QH,       (2024 QH),Y,N,24.95,,,0.3420,0.8373,0.551,10.25,152.96,27.31,0.0282,ATE
2024 QJ,       (2024 QJ),Y,N,27.08,,,0.1991,1.286,1.030,1.31,326.06,357.04,0.0164,AMO
2024 QK,       (2024 QK),Y,N,24.17,,,0.6131,2.607,1.009,15.41,150.90,211.71,0.0477,APO
2024 QL,       (2024 QL),Y,N,27.10,,,0.5601,2.133,0.938,5.50,157.96,215.71,0.00145,APO
2024 QM,       (2024 QM),Y,N,23.68,,,0.3236,1.025,0.693,7.30,151.80,300.46,0.0298,APO
2024 QN,       (2024 QN),Y,N,26.35,,,0.3024,1.316,0.918,4.80,155.07,123.86,0.00454,APO
2024 QO,       (2024 QO),Y,N,24.38,,,0.2512,1.206,0.903,2.68,349.37,271.77,0.0201,APO
2024 QQ,       (2024 QQ),Y,N,27.58,,,0.2913,0.7954,0.564,0.31,190.72,311.47,0.00289,ATE
2024 QR,       (2024 QR),Y,N,20.88,,,0.3819,1.956,1.209,15.94,144.29,241.56,0.298,AMO
2024 QS,       (2024 QS),Y,N,24.64,,,0.3850,1.476,0.908,4.10,158.02,242.66,0.0155,APO
2024 QT,       (2024 QT),Y,N,27.93,,,0.1597,1.078,0.906,7.75,333.67,279.62,0.00766,APO
2024 QU,       (2024 QU),Y,N,24.87,,,0.3012,0.8112,0.567,6.66,330.99,171.04,0.0301,ATE
2024 QV,       (2024 QV),Y,N,25.47,,,0.0858,1.196,1.093,9.30,331.57,318.14,0.098,AMO
2024 QW,       (2024 QW),Y,N,25.30,,,0.5603,2.203,0.968,5.28,153.70,134.33,0.0247,APO
2024 QX,       (2024 QX),Y,N,20.30,,,0.5261,2.221,1.052,19.47,159.98,274.93,0.297,AMO
2024 QY,       (2024 QY),Y,N,25.48,,,0.5886,2.503,1.030,12.77,333.58,331.84,0.0524,AMO
2024 QZ,       (2024 QZ),Y,N,24.54,,,0.0607,1.273,1.195,9.61,162.09,177.25,0.186,AMO
2024 QA1,       (2024 QA1),Y,N,21.69,,,0.6115,2,0.777,9.21,231.62,211.40,0.084,APO
2024 QB1,       (2024 QB1),Y,N,23.33,,,0.6706,2.931,0.965,14.41,344.06,54.24,0.0879,APO
2024 QC1,       (2024 QC1),Y,N,23.12,,,0.7304,1.739,0.469,2.20,24.90,195.03,0.0335,APO
2024 QD1,       (2024 QD1),Y,N,21.00,,,0.5467,1.214,0.550,26.28,188.31,2.74,0.432,APO
2024 QE1,       (2024 QE1),Y,N,20.90,,,0.2957,1.108,0.781,28.25,350.06,112.47,0.0761,APO
2024 QG1,       (2024 QG1),Y,N,25.02,,,0.5448,2.187,0.995,6.33,158.61,123.21,0.0593,APO
2024 QJ1,       (2024 QJ1),Y,N,25.09,,,0.3524,1.55,1.004,6.12,328.87,318.60,0.033,APO
2024 QK1,       (2024 QK1),Y,N,25.30,,,0.5464,2.217,1.006,2.91,323.50,33.80,0.0189,APO
2024 QL1,       (2024 QL1),Y,N,27.57,,,0.1710,0.885,0.734,4.19,332.72,205.61,0.00268,ATE
2024 QM1,       (2024 QM1),Y,N,26.26,,,0.5737,1.983,0.845,0.64,246.42,149.33,0.00398,APO
2024 QN1,       (2024 QN1),Y,N,19.94,,,0.6334,1.796,0.659,53.44,166.73,314.79,0.235,APO
2024 QQ1,       (2024 QQ1),Y,N,21.70,,,0.2511,1.089,0.815,43.03,328.37,186.05,0.172,APO
2024 QR1,       (2024 QR1),Y,N,23.59,,,0.1222,0.9878,0.867,30.62,332.77,185.93,0.0965,ATE
2024 QS1,       (2024 QS1),Y,N,22.03,,,0.4403,1.066,0.597,6.16,355.77,104.05,0.00973,APO
2024 QT1,       (2024 QT1),Y,N,27.68,,,0.2453,1.163,0.878,7.51,159.20,101.70,0.0153,APO
2024 QU1,       (2024 QU1),Y,N,26.77,,,0.1669,1.042,0.868,35.52,336.69,268.06,0.00878,APO
2024 QV1,       (2024 QV1),Y,N,24.79,,,0.3784,1.079,0.671,15.48,159.45,285.54,0.0105,APO
2024 QW1,       (2024 QW1),Y,N,28.01,,,0.2371,1.336,1.019,4.35,164.53,158.79,0.018,AMO
2024 QY1,       (2024 QY1),Y,N,24.81,,,0.2844,1.489,1.065,2.00,65.21,231.63,0.0561,AMO
2024 QZ1,       (2024 QZ1),Y,N,21.99,,,0.5730,2.678,1.144,6.22,24.23,353.63,0.145,AMO
2024 QA2,       (2024 QA2),Y,N,25.04,,,0.3455,1.532,1.003,22.79,336.63,24.33,0.0156,APO
2024 QB2,       (2024 QB2),Y,N,28.38,,,0.4954,2.012,1.015,0.54,333.13,358.60,0.00388,APO
2024 QC2,       (2024 QC2),Y,N,21.46,,,0.1518,1.487,1.262,22.53,327.65,80.95,0.377,AMO
2024 QE2,       (2024 QE2),Y,N,27.49,,,0.3718,1.492,0.937,6.10,162.23,223.01,0.000952,APO
2024 QF2,       (2024 QF2),Y,N,23.11,,,0.5836,2.631,1.095,9.03,127.35,255.08,0.179,AMO
2024 QG2,       (2024 QG2),Y,N,22.62,,,0.5418,2.588,1.186,15.70,165.60,200.76,0.195,AMO
2024 QH2,       (2024 QH2),Y,N,26.87,,,0.2794,0.8654,0.624,35.33,336.72,221.69,0.00181,ATE
2024 QJ2,       (2024 QJ2),Y,N,24.38,,,0.6043,2.571,1.017,4.19,160.49,182.38,0.00884,AMO
2024 QK2,       (2024 QK2),Y,N,25.51,,,0.3689,1.422,0.897,0.55,114.99,165.92,0.00623,APO
2024 QL2,       (2024 QL2),Y,N,25.91,,,0.4644,1.849,0.991,1.79,7.64,300.46,0.0194,APO
2024 QM2,       (2024 QM2),Y,N,24.02,,,0.4428,2.131,1.187,6.89,334.08,7.26,0.179,AMO
2024 QN2,       (2024 QN2),Y,N,23.41,,,0.5121,2.285,1.115,5.04,155.53,155.03,0.107,AMO
2024 QP2,       (2024 QP2),Y,Y,21.52,,,0.6228,2.544,0.960,1.64,205.32,202.15,0.00185,APO
2024 QQ2,       (2024 QQ2),Y,N,23.66,,,0.3881,1.978,1.210,3.92,99.32,262.65,0.219,AMO
2024 QU2,       (2024 QU2),Y,N,23.89,,,0.4628,2.278,1.224,9.46,353.35,342.75,0.22,AMO
2024 QW2,       (2024 QW2),Y,N,23.48,,,0.4472,2.085,1.153,6.12,91.22,233.90,0.164,AMO
2024 QA3,       (2024 QA3),Y,N,19.52,,,0.5841,2.701,1.123,9.95,34.57,45.02,0.176,AMO
2024 QG3,       (2024 QG3),Y,N,23.16,,,0.6813,2.81,0.896,3.70,92.58,326.35,0.00563,APO
2024 QH3,       (2024 QH3),Y,N,25.50,,,0.2327,1.195,0.917,6.29,325.57,112.36,0.0263,APO
2024 QT3,       (2024 QT3),Y,N,22.83,,,0.2970,1.737,1.221,36.88,154.95,230.75,0.307,AMO
2024 QB4,       (2024 QB4),Y,N,20.33,,,0.4467,2.194,1.214,18.72,41.65,226.98,0.273,AMO
2024 QC5,       (2024 QC5),Y,N,22.81,,,0.4644,2.145,1.149,7.80,26.18,309.21,0.175,AMO
2024 QE5,       (2024 QE5),Y,Y,19.35,,,0.6932,2.599,0.797,18.20,268.71,66.94,0.0241,APO
2024 QV5,       (2024 QV5),Y,N,25.04,,,0.4886,1.673,0.856,4.85,157.81,255.05,0.0259,APO
2024 QY5,       (2024 QY5),Y,N,22.67,,,0.2462,1.565,1.179,4.56,286.01,109.60,0.202,AMO
2024 QJ29,       (2024 QJ29),Y,N,21.64,,,0.4325,2.214,1.256,5.15,305.10,111.39,0.283,AMO
2024 QX40,       (2024 QX40),Y,N,22.85,,,0.5455,2.456,1.116,7.65,148.35,147.83,0.119,AMO
2024 RB,       (2024 RB),Y,N,27.52,,,0.4703,1.724,0.913,11.09,160.51,228.07,0.00749,APO
2024 RC,       (2024 RC),Y,N,27.49,,,0.1532,1.245,1.054,1.39,296.78,56.82,0.051,AMO
2024 RD,       (2024 RD),Y,N,26.78,,,0.2839,1.39,0.995,0.44,326.96,342.26,0.00057,APO
2024 RE,       (2024 RE),Y,N,23.38,,,0.1847,0.9358,0.763,6.03,319.93,251.70,0.0262,ATE
2024 RF,       (2024 RF),Y,N,26.81,,,0.4479,1.787,0.987,6.53,330.61,41.58,0.0312,APO
2024 RG,       (2024 RG),Y,N,24.20,,,0.5067,2.298,1.133,3.11,292.57,59.69,0.136,AMO
2024 RH,       (2024 RH),Y,N,25.63,,,0.3026,1.433,0.999,18.73,165.71,219.11,0.0425,APO
2024 RJ,       (2024 RJ),Y,N,26.50,,,0.4328,1.484,0.842,9.93,164.08,247.39,0.0122,APO
2024 RK,       (2024 RK),Y,N,26.67,,,0.4745,1.972,1.036,9.81,338.18,3.26,0.0276,AMO
2024 RL,       (2024 RL),Y,N,25.11,,,0.4439,1.819,1.012,3.94,190.82,111.71,0.0553,APO
2024 RM,       (2024 RM),Y,N,24.23,,,0.1829,0.9618,0.786,13.08,173.10,335.16,0.0993,ATE
2024 RN,       (2024 RN),Y,N,25.53,,,0.3473,1.565,1.021,3.03,296.17,16.12,0.011,AMO
2024 RO,       (2024 RO),Y,N,25.16,,,0.4269,1.77,1.014,6.06,319.65,60.77,0.0741,APO
2024 RP,       (2024 RP),Y,N,23.84,,,0.3591,1.741,1.116,14.66,172.29,124.90,0.185,AMO
2024 RQ,       (2024 RQ),Y,N,25.20,,,0.2300,0.9359,0.721,5.71,352.53,122.37,0.00209,ATE
2024 RS,       (2024 RS),Y,N,23.30,,,0.4244,2.178,1.254,6.26,88.50,251.51,0.269,AMO
2024 RT,       (2024 RT),Y,N,24.80,,,0.6431,2.073,0.740,3.64,299.31,319.51,0.033,APO
2024 RU,       (2024 RU),Y,N,23.99,,,0.5563,2.49,1.105,9.91,180.84,181.73,0.101,AMO
2024 RX,       (2024 RX),Y,N,21.80,,,0.5296,2.367,1.113,28.45,348.31,354.10,0.108,AMO
2024 RY,       (2024 RY),Y,N,25.18,,,0.5035,1.947,0.967,2.53,165.03,143.94,0.0052,APO
2024 RZ,       (2024 RZ),Y,N,25.29,,,0.4495,1.766,0.972,19.32,334.05,320.35,0.0303,APO
2024 RA1,       (2024 RA1),Y,N,22.55,,,0.7136,1.596,0.457,11.03,303.27,158.25,0.148,APO
2024 RB1,       (2024 RB1),Y,N,25.49,,,0.2227,0.9003,0.700,6.28,172.95,358.40,0.0746,ATE
2024 RC1,       (2024 RC1),Y,N,23.68,,,0.2872,1.496,1.066,18.86,335.76,3.76,0.0567,AMO
2024 RD1,       (2024 RD1),Y,N,23.82,,,0.2772,1.4,1.012,22.24,330.10,71.57,0.15,APO
2024 RE1,       (2024 RE1),Y,N,25.54,,,0.4350,1.391,0.786,11.52,342.51,80.83,0.021,APO
2024 RF1,       (2024 RF1),Y,N,22.86,,,0.4863,1.133,0.582,15.80,311.95,160.49,0.218,APO
2024 RG1,       (2024 RG1),Y,N,25.24,,,0.5274,2.393,1.131,4.55,201.90,127.87,0.137,AMO
2024 RH1,       (2024 RH1),Y,N,26.44,,,0.4936,2.02,1.023,4.70,165.42,148.84,0.0326,AMO
2024 RJ1,       (2024 RJ1),Y,N,24.62,,,0.3401,1.312,0.866,1.96,289.33,133.29,0.00665,APO
2024 RK1,       (2024 RK1),Y,N,26.74,,,0.0737,1.107,1.026,14.23,339.85,340.12,0.0201,AMO
2024 RL1,       (2024 RL1),Y,N,25.34,,,0.1519,1.022,0.867,18.51,165.50,65.66,0.0477,APO
2024 RM1,       (2024 RM1),Y,N,23.28,,,0.7679,2.265,0.526,1.95,262.84,341.01,0.0308,APO
2024 RN1,       (2024 RN1),Y,N,26.30,,,0.5981,1.664,0.669,1.23,328.36,102.03,0.00162,APO
2024 RO1,       (2024 RO1),Y,N,25.93,,,0.3703,1.318,0.830,4.13,331.55,87.03,0.0213,APO
2024 RP1,       (2024 RP1),Y,N,29.32,,,0.2006,1.06,0.847,0.98,341.52,269.42,0.000808,APO
2024 RQ1,       (2024 RQ1),Y,N,25.76,,,0.5912,2.37,0.969,1.68,340.63,317.66,0.00737,APO
2024 RR1,       (2024 RR1),Y,N,25.66,,,0.6348,2.767,1.010,4.10,169.68,182.57,0.00372,APO
2024 RS1,       (2024 RS1),Y,N,26.25,,,0.2120,1.199,0.945,25.26,340.95,52.64,0.00514,APO
2024 RT1,       (2024 RT1),Y,N,23.39,,,0.1395,1.216,1.047,15.10,357.59,9.67,0.044,AMO
2024 RV1,       (2024 RV1),Y,N,21.14,,,0.5433,1.467,0.670,8.26,269.96,192.77,0.136,APO
2024 RW1,       (2024 RW1),Y,N,32.20,,,0.7068,2.507,0.735,0.53,162.46,249.62,1.34e-05,APO
2024 RY1,       (2024 RY1),Y,N,23.21,,,0.5306,1.631,0.766,31.48,160.42,99.07,0.0524,APO
2024 RZ1,       (2024 RZ1),Y,N,24.17,,,0.3465,1.814,1.186,5.84,181.16,185.67,0.184,AMO
2024 RF2,       (2024 RF2),Y,N,25.05,,,0.4697,1.536,0.815,1.91,154.31,257.89,0.00663,APO
2024 RG2,       (2024 RG2),Y,N,25.41,,,0.2873,1.413,1.007,29.94,341.89,34.52,0.0378,APO
2024 RH2,       (2024 RH2),Y,N,25.00,,,0.2515,0.8184,0.613,2.08,325.06,195.93,0.000502,ATE
2024 RJ2,       (2024 RJ2),Y,N,23.53,,,0.3780,1.598,0.994,26.45,343.85,328.40,0.0259,APO
2024 RK2,       (2024 RK2),Y,N,27.81,,,0.1836,1.261,1.029,2.09,341.89,342.42,0.0195,AMO
2024 RL2,       (2024 RL2),Y,N,28.45,,,0.5771,2.168,0.917,1.35,160.30,225.94,0.00191,APO
2024 RM2,       (2024 RM2),Y,N,20.27,,,0.6177,3.337,1.276,13.10,235.12,156.90,0.295,AMO
2024 RN2,       (2024 RN2),Y,N,27.54,,,0.5391,2.167,0.999,0.53,125.66,193.10,0.000782,APO
2024 RO2,       (2024 RO2),Y,N,24.87,,,0.4444,1.695,0.942,7.15,190.72,216.63,0.000914,APO
2024 RW2,       (2024 RW2),Y,N,25.57,,,0.5809,2.377,0.996,1.07,305.78,24.64,0.00204,APO
2024 RX2,       (2024 RX2),Y,N,22.41,,,0.3685,1.682,1.062,16.14,176.31,186.66,0.0591,AMO
2024 RY2,       (2024 RY2),Y,N,25.09,,,0.2530,1.464,1.093,4.32,229.71,126.86,0.108,AMO
2024 RZ2,       (2024 RZ2),Y,N,28.60,,,0.3038,1.341,0.934,2.25,339.18,315.80,0.00199,APO
2024 RA3,       (2024 RA3),Y,N,24.54,,,0.5882,2.438,1.004,2.97,145.17,239.50,0.04,APO
2024 RB3,       (2024 RB3),Y,N,27.73,,,0.4976,1.417,0.712,2.33,346.43,81.88,0.00104,APO
2024 RC3,       (2024 RC3),Y,N,25.40,,,0.2787,1.414,1.020,20.18,166.00,146.98,0.0462,AMO
2024 RE3,       (2024 RE3),Y,N,24.55,,,0.3782,1.684,1.047,1.14,240.32,141.65,0.0506,AMO
2024 RF3,       (2024 RF3),Y,N,27.30,,,0.3272,1.41,0.948,1.31,142.72,248.60,0.011,APO
2024 RG3,       (2024 RG3),Y,N,24.59,,,0.5251,2.458,1.167,10.63,168.04,181.23,0.16,AMO
2024 RH3,       (2024 RH3),Y,N,28.05,,,0.4431,1.506,0.839,4.49,161.93,246.27,0.00422,APO
2024 RJ3,       (2024 RJ3),Y,N,25.59,,,0.5117,2.178,1.063,3.67,163.50,172.89,0.0542,AMO
2024 RK3,       (2024 RK3),Y,N,25.07,,,0.5943,2.534,1.028,8.86,332.25,352.92,0.0186,AMO
2024 RL3,       (2024 RL3),Y,N,29.09,,,0.4132,1.69,0.992,2.57,342.37,341.08,0.000438,APO
2024 RM3,       (2024 RM3),Y,N,26.45,,,0.3016,1.428,0.997,6.97,168.66,203.05,0.00753,APO
2024 RN3,       (2024 RN3),Y,N,26.46,,,0.2924,1.144,0.810,8.28,346.20,83.95,0.0034,APO
2024 RO3,       (2024 RO3),Y,N,22.79,,,0.6249,1.862,0.698,16.53,154.62,287.22,0.0165,APO
2024 RP3,       (2024 RP3),Y,N,25.93,,,0.5086,1.881,0.924,8.67,337.21,311.25,0.0159,APO
2024 RR3,       (2024 RR3),Y,N,26.96,,,0.4389,0.8393,0.471,25.86,164.69,318.67,0.00178,ATE
2024 RS3,       (2024 RS3),Y,N,26.21,,,0.5134,2.19,1.066,14.45,344.27,355.48,0.0584,AMO
2024 RT3,       (2024 RT3),Y,N,26.01,,,0.4648,1.786,0.956,6.26,341.00,52.15,0.0331,APO
2024 RU3,       (2024 RU3),Y,N,24.11,,,0.2516,1.381,1.033,10.65,347.51,291.16,0.116,AMO
2024 RV3,       (2024 RV3),Y,N,23.93,,,0.1829,1.309,1.069,50.86,159.73,118.78,0.15,AMO
2024 RW3,       (2024 RW3),Y,N,27.28,,,0.1750,1.115,0.920,0.85,260.72,356.95,0.0135,APO
2024 RX3,       (2024 RX3),Y,N,22.43,,,0.5485,1.854,0.837,13.54,353.52,60.58,0.00865,APO
2024 RY3,       (2024 RY3),Y,N,26.89,,,0.6456,2.407,0.853,5.67,165.62,236.30,0.00653,APO
2024 RZ3,       (2024 RZ3),Y,N,26.88,,,0.0819,1.065,0.977,1.03,191.00,75.09,0.00712,APO
2024 RE4,       (2024 RE4),Y,N,24.42,,,0.1002,1.12,1.008,24.05,168.49,265.41,0.0907,APO
2024 RF4,       (2024 RF4),Y,N,25.44,,,0.4952,1.733,0.875,11.00,336.34,66.45,0.0389,APO
2024 RG4,       (2024 RG4),Y,N,25.17,,,0.6942,2.201,0.673,2.27,232.75,24.59,0.0317,APO
2024 RH4,       (2024 RH4),Y,N,25.02,,,0.2399,1.326,1.008,24.45,169.48,126.24,0.0804,APO
2024 RJ4,       (2024 RJ4),Y,N,25.15,,,0.5404,2.301,1.057,11.19,342.76,31.16,0.084,AMO
2024 RK4,       (2024 RK4),Y,N,25.50,,,0.5057,2.178,1.077,1.70,290.72,36.90,0.067,AMO
2024 RL4,       (2024 RL4),Y,N,25.85,,,0.5284,1.019,0.480,14.72,344.27,127.25,0.0269,APO
2024 RM4,       (2024 RM4),Y,N,21.34,,,0.4630,2.335,1.254,5.39,185.50,208.09,0.262,AMO
2024 RN4,       (2024 RN4),Y,N,22.98,,,0.4052,1.981,1.178,8.64,137.73,232.83,0.21,AMO
2024 RO4,       (2024 RO4),Y,N,23.43,,,0.3983,1.656,0.996,25.39,171.86,125.72,0.105,APO
2024 RP4,       (2024 RP4),Y,N,22.58,,,0.2610,1.674,1.237,6.14,268.66,28.75,0.226,AMO
2024 RR4,       (2024 RR4),Y,N,23.81,,,0.5430,2.502,1.143,20.90,340.59,42.98,0.213,AMO
2024 RS4,       (2024 RS4),Y,N,26.35,,,0.4277,1.465,0.838,1.12,47.99,8.99,0.016,APO
2024 RT4,       (2024 RT4),Y,N,24.72,,,0.4044,1.873,1.116,3.14,301.20,75.90,0.128,AMO
2024 RU4,       (2024 RU4),Y,N,21.07,,,0.5160,2.576,1.247,25.28,346.85,292.87,0.411,AMO
2024 RV4,       (2024 RV4),Y,Y,20.96,,,0.7383,2.283,0.597,16.86,3.57,261.44,0.0241,APO
2024 RW4,       (2024 RW4),Y,N,24.92,,,0.3040,1.475,1.026,5.63,345.82,1.62,0.0186,AMO
2024 RX4,       (2024 RX4),Y,N,25.90,,,0.2634,1.457,1.074,6.95,176.05,178.85,0.068,AMO
2024 RY4,       (2024 RY4),Y,N,24.64,,,0.1247,1.291,1.130,11.50,339.95,21.04,0.128,AMO
2024 RZ4,       (2024 RZ4),Y,N,25.22,,,0.4510,1.669,0.916,21.84,339.72,303.94,0.0406,APO
2024 RA5,       (2024 RA5),Y,N,28.91,,,0.1849,0.8655,0.705,0.33,254.46,272.88,0.00501,ATE
2024 RB5,       (2024 RB5),Y,N,22.17,,,0.5989,2.878,1.154,6.85,97.21,288.48,0.199,AMO
2024 RC5,       (2024 RC5),Y,N,24.41,,,0.4230,1.88,1.085,8.98,177.48,203.27,0.0958,AMO
2024 RD5,       (2024 RD5),Y,N,24.64,,,0.5033,2.294,1.140,5.10,202.94,169.97,0.14,AMO
2024 RE5,       (2024 RE5),Y,N,24.71,,,0.5613,2.471,1.084,4.77,327.75,30.53,0.088,AMO
2024 RG5,       (2024 RG5),Y,N,26.47,,,0.2666,1.468,1.077,2.37,203.02,120.89,0.074,AMO
2024 RJ5,       (2024 RJ5),Y,N,24.34,,,0.5043,2.244,1.113,6.37,158.82,232.12,0.144,AMO
2024 RK5,       (2024 RK5),Y,N,23.78,,,0.4496,1.652,0.909,28.06,162.19,120.02,0.0551,APO
2024 RL5,       (2024 RL5),Y,N,22.59,,,0.5362,2.772,1.286,5.38,308.86,50.41,0.292,AMO
2024 RQ5,       (2024 RQ5),Y,N,28.04,,,0.2446,1.211,0.915,1.15,173.42,236.85,0.00026,APO
2024 RR5,       (2024 RR5),Y,N,21.31,,,0.6994,2.22,0.667,12.10,225.13,191.12,0.192,APO
2024 RS5,       (2024 RS5),Y,N,24.17,,,0.2315,1.553,1.193,7.61,219.67,136.01,0.21,AMO
2024 RT5,       (2024 RT5),Y,N,23.92,,,0.5086,0.8325,0.409,14.84,327.82,205.72,0.0572,ATE
